<<<<<<< HEAD
asset_id,asset_name,asset_type,material,diameter,installation_year,status,network_type,length,depth,zone,pressure_rating,location,geometry,Remaining_Years,Failure
A-00000,Asset_0,Valve,Steel,410.3,1998,Active,Recycled Water,115.8,0.71,West,250,Suburb C,"-37.833298,144.887588",17.997165556681754,0
A-00001,Asset_1,Sewer,Steel,140.1,1995,Active,Water,184.8,3.11,Central,150,Melbourne CBD,"-37.800690,144.910799",19.068702264464804,0
A-00002,Asset_2,Pipe,Steel,125.4,2011,Active,Water,222.1,4.61,West,200,Suburb A,"-37.793019,144.939404",38.94104780861639,0
A-00003,Asset_3,Valve,Concrete,97.1,1957,Active,Recycled Water,488.9,1.3,East,250,Melbourne CBD,"-37.873587,144.906358",0.0,0
A-00004,Asset_4,Valve,Cast Iron,336.4,1992,Active,Sewer,404.9,0.53,North,250,Suburb C,"-37.812312,144.812117",8.381546880009527,0
A-00005,Asset_5,Sewer,Concrete,367.9,1969,Active,Recycled Water,370.0,4.12,East,100,Suburb B,"-37.745871,145.048730",9.480199908200756,0
A-00006,Asset_6,Pipe,Cast Iron,64.2,1988,Active,Recycled Water,270.8,0.85,West,150,Suburb B,"-37.779728,145.018420",9.235121887588999,0
A-00007,Asset_7,Pipe,Concrete,471.3,1998,Decommissioned,Sewer,420.8,2.36,North,250,Melbourne CBD,"-37.781937,145.173861",29.593110497410233,0
A-00008,Asset_8,Valve,Concrete,73.4,2013,Active,Sewer,173.0,3.55,East,200,Rural Area,"-37.898286,144.819120",50.21037032495076,0
A-00009,Asset_9,Pump,Copper,293.6,2011,Active,Water,355.9,1.57,Central,250,Rural Area,"-37.861701,144.866921",35.22124678645501,0
A-00010,Asset_10,Valve,Concrete,369.1,2003,Active,Water,496.9,0.88,East,300,Suburb B,"-37.863761,145.068778",27.797106371590004,0
A-00011,Asset_11,Valve,Plastic,441.9,1958,Active,Recycled Water,160.7,3.97,West,200,Melbourne CBD,"-37.808103,145.196712",0.0,0
A-00012,Asset_12,Valve,Copper,371.3,1986,Active,Sewer,338.6,3.34,North,200,Melbourne CBD,"-37.854623,144.924332",18.08116900423578,0
A-00013,Asset_13,Valve,Concrete,410.8,1998,Active,Water,422.9,4.95,Central,250,Melbourne CBD,"-37.703152,145.132703",25.16310514070554,0
A-00014,Asset_14,Sewer,Steel,202.8,1990,Inactive,Recycled Water,458.3,2.05,North,100,Suburb C,"-37.806040,145.021839",13.437371554952648,0
A-00015,Asset_15,Pipe,Plastic,416.7,1966,Inactive,Sewer,360.4,0.78,Central,200,Rural Area,"-37.731364,144.992392",0.0,0
A-00016,Asset_16,Sewer,Plastic,86.1,1970,Inactive,Recycled Water,145.4,3.8,North,300,Rural Area,"-37.858795,145.131378",1.578803036033488,0
A-00017,Asset_17,Sewer,Plastic,452.7,2000,Active,Water,166.5,2.85,West,100,Suburb C,"-37.792446,144.861217",31.45388732282948,0
A-00018,Asset_18,Sewer,Copper,296.4,2008,Active,Water,15.3,1.46,Central,100,Suburb A,"-37.798883,144.965281",37.102718415677586,0
A-00019,Asset_19,Valve,Concrete,417.8,1988,Active,Sewer,381.6,4.02,South,100,Suburb C,"-37.724631,144.850422",26.469069551572353,0
A-00020,Asset_20,Pump,Concrete,253.5,2004,Inactive,Recycled Water,26.2,1.42,North,200,Melbourne CBD,"-37.724958,145.004884",35.60126770142109,0
A-00021,Asset_21,Pipe,Steel,339.6,1990,Active,Sewer,433.0,1.67,North,100,Suburb C,"-37.819127,144.864787",12.74394369999921,0
A-00022,Asset_22,Pump,Steel,286.9,1988,Inactive,Water,63.7,0.92,East,250,Melbourne CBD,"-37.759836,145.170723",10.489573803867362,1
A-00023,Asset_23,Sewer,Plastic,379.2,1962,Active,Water,90.1,2.3,Central,100,Suburb B,"-37.824925,144.896634",0.0,0
A-00024,Asset_24,Sewer,Steel,86.7,2013,Active,Recycled Water,240.9,2.39,South,300,Melbourne CBD,"-37.789027,145.118474",36.337023775831,0
A-00025,Asset_25,Pump,Copper,77.2,1960,Active,Recycled Water,370.3,2.82,West,150,Rural Area,"-37.899246,145.052551",0.0,0
A-00026,Asset_26,Pump,Concrete,161.2,1968,Active,Recycled Water,73.8,3.69,East,300,Suburb C,"-37.780697,144.927261",0.0,0
